,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SPY260605P00400000,2026-05-21 18:32:43+00:00,400.0,0.01,0.0,0.01,0.0,0.0,120.0,1126,0.9062509375,False,REGULAR,USD
1,SPY260605P00405000,2026-05-21 18:32:35+00:00,405.0,0.01,0.0,0.01,0.0,0.0,120.0,665,0.87500125,False,REGULAR,USD
2,SPY260605P00410000,2026-05-15 17:45:22+00:00,410.0,0.02,0.0,0.01,0.0,0.0,15.0,463,0.87500125,False,REGULAR,USD
3,SPY260605P00415000,2026-05-21 18:32:29+00:00,415.0,0.01,0.0,0.01,0.0,0.0,120.0,1037,0.8437515624999999,False,REGULAR,USD
4,SPY260605P00420000,2026-05-19 17:24:42+00:00,420.0,0.01,0.0,0.01,0.0,0.0,3.0,610,0.8437515624999999,False,REGULAR,USD
5,SPY260605P00425000,2026-05-21 18:32:21+00:00,425.0,0.01,0.0,0.01,0.0,0.0,360.0,371,0.8125018749999999,False,REGULAR,USD
6,SPY260605P00430000,2026-05-21 18:32:13+00:00,430.0,0.01,0.0,0.01,0.0,0.0,120.0,224,0.79687703125,False,REGULAR,USD
7,SPY260605P00435000,2026-05-21 18:32:07+00:00,435.0,0.01,0.0,0.01,0.0,0.0,2.0,1093,0.7812521875,False,REGULAR,USD
8,SPY260605P00440000,2026-05-21 18:30:28+00:00,440.0,0.01,0.0,0.01,0.0,0.0,120.0,373,0.7656273437500001,False,REGULAR,USD
9,SPY260605P00445000,2026-05-21 18:05:54+00:00,445.0,0.01,0.0,0.01,0.0,0.0,120.0,497,0.7500025,False,REGULAR,USD
10,SPY260605P00450000,2026-05-21 18:05:31+00:00,450.0,0.01,0.0,0.01,0.0,0.0,360.0,1347,0.73437765625,False,REGULAR,USD
11,SPY260605P00455000,2026-05-21 18:05:05+00:00,455.0,0.01,0.0,0.01,0.0,0.0,432.0,403,0.7187528125,False,REGULAR,USD
12,SPY260605P00460000,2026-05-21 18:04:48+00:00,460.0,0.01,0.0,0.01,0.0,0.0,575.0,1805,0.70312796875,False,REGULAR,USD
13,SPY260605P00465000,2026-05-21 18:04:28+00:00,465.0,0.01,0.0,0.01,0.0,0.0,300.0,1270,0.6875031250000001,False,REGULAR,USD
14,SPY260605P00470000,2026-05-21 18:04:09+00:00,470.0,0.01,0.0,0.01,0.0,0.0,240.0,3143,0.6718782812500002,False,REGULAR,USD
15,SPY260605P00475000,2026-05-21 18:03:51+00:00,475.0,0.01,0.0,0.01,0.0,0.0,60.0,4535,0.6562534375000001,False,REGULAR,USD
16,SPY260605P00480000,2026-05-22 18:46:33+00:00,480.0,0.01,0.0,0.02,0.0,0.0,96.0,414,0.6796907031250001,False,REGULAR,USD
17,SPY260605P00485000,2026-05-21 20:09:18+00:00,485.0,0.01,0.01,0.02,0.0,0.0,10.0,13,0.6875031250000001,False,REGULAR,USD
18,SPY260605P00490000,2026-05-22 17:44:53+00:00,490.0,0.01,0.01,0.02,-0.01,-50.0,100.0,349,0.6718782812500002,False,REGULAR,USD
19,SPY260605P00495000,2026-05-20 14:07:00+00:00,495.0,0.01,0.01,0.02,-0.01,-50.0,16.0,236,0.6562534375000001,False,REGULAR,USD
20,SPY260605P00500000,2026-05-22 15:30:50+00:00,500.0,0.02,0.01,0.02,0.0,0.0,10.0,7603,0.64062859375,False,REGULAR,USD
21,SPY260605P00505000,2026-05-21 15:04:51+00:00,505.0,0.02,0.01,0.02,0.0,0.0,87.0,955,0.6250037500000001,False,REGULAR,USD
22,SPY260605P00510000,2026-05-21 16:55:52+00:00,510.0,0.02,0.01,0.02,0.0,0.0,130.0,4953,0.6093789062500001,False,REGULAR,USD
23,SPY260605P00515000,2026-05-21 16:02:41+00:00,515.0,0.02,0.01,0.02,0.0,0.0,21.0,4314,0.5937540625000001,False,REGULAR,USD
24,SPY260605P00520000,2026-05-21 16:07:42+00:00,520.0,0.02,0.01,0.02,0.0,0.0,3.0,132,0.5820354296875,False,REGULAR,USD
25,SPY260605P00525000,2026-05-21 17:48:27+00:00,525.0,0.03,0.01,0.02,0.01,50.0,1.0,267,0.5664105859375,False,REGULAR,USD
26,SPY260605P00530000,2026-05-22 13:50:09+00:00,530.0,0.02,0.02,0.03,0.0,0.0,10.0,430,0.57812921875,False,REGULAR,USD
27,SPY260605P00535000,2026-05-22 19:22:00+00:00,535.0,0.01,0.02,0.03,-0.01,-50.0,1587.0,1182,0.5625043750000001,False,REGULAR,USD
28,SPY260605P00540000,2026-05-22 17:49:59+00:00,540.0,0.02,0.02,0.03,-0.01,-33.333336,2680.0,1326,0.5468795312500001,False,REGULAR,USD
29,SPY260605P00545000,2026-05-22 15:57:21+00:00,545.0,0.02,0.02,0.03,-0.01,-33.333336,3.0,762,0.5312546875,False,REGULAR,USD
30,SPY260605P00550000,2026-05-22 15:34:29+00:00,550.0,0.02,0.02,0.03,-0.01,-33.333336,11.0,400,0.5195360546875,False,REGULAR,USD
31,SPY260605P00555000,2026-05-21 18:42:06+00:00,555.0,0.03,0.03,0.04,0.0,0.0,7.0,182,0.5195360546875,False,REGULAR,USD
32,SPY260605P00560000,2026-05-21 19:47:22+00:00,560.0,0.03,0.03,0.04,0.0,0.0,1.0,253,0.5039112109375,False,REGULAR,USD
33,SPY260605P00565000,2026-05-22 18:31:45+00:00,565.0,0.03,0.03,0.04,0.0,0.0,1340.0,281,0.49609878906250005,False,REGULAR,USD
34,SPY260605P00570000,2026-05-22 17:55:27+00:00,570.0,0.03,0.03,0.04,0.0,0.0,2377.0,124,0.48242705078125003,False,REGULAR,USD
35,SPY260605P00575000,2026-05-22 17:55:59+00:00,575.0,0.03,0.03,0.04,-0.01,-25.0,1229.0,487,0.46680220703125,False,REGULAR,USD
36,SPY260605P00580000,2026-05-22 13:39:37+00:00,580.0,0.03,0.04,0.05,-0.01,-25.0,50.0,157,0.46289599609375004,False,REGULAR,USD
37,SPY260605P00585000,2026-05-22 13:30:00+00:00,585.0,0.03,0.04,0.05,-0.01,-25.0,15.0,821,0.44922425781249997,False,REGULAR,USD
38,SPY260605P00588000,2026-05-21 19:59:22+00:00,588.0,0.04,0.04,0.05,0.0,0.0,5.0,370,0.43945873046875,False,REGULAR,USD
39,SPY260605P00589000,2026-05-20 13:51:08+00:00,589.0,0.08,0.04,0.05,0.0,0.0,7.0,486,0.437505625,False,REGULAR,USD
40,SPY260605P00590000,2026-05-21 17:55:47+00:00,590.0,0.04,0.04,0.05,0.0,0.0,311.0,784,0.4335994140625,False,REGULAR,USD
41,SPY260605P00591000,2026-05-22 17:49:07+00:00,591.0,0.04,0.04,0.05,-0.030000001,-42.857143,100.0,103,0.43164630859375,False,REGULAR,USD
42,SPY260605P00592000,2026-05-22 17:39:57+00:00,592.0,0.04,0.05,0.06,-0.010000002,-20.000004,2.0,8,0.43555251953125,False,REGULAR,USD
43,SPY260605P00593000,2026-05-15 14:05:46+00:00,593.0,0.21,0.05,0.06,0.0,0.0,1.0,3,0.4335994140625,False,REGULAR,USD
44,SPY260605P00594000,2026-05-22 17:20:42+00:00,594.0,0.04,0.05,0.06,-0.18,-81.818184,1.0,58,0.43066975585937506,False,REGULAR,USD
45,SPY260605P00595000,2026-05-22 16:44:26+00:00,595.0,0.05,0.05,0.06,0.0,0.0,1551.0,106,0.42774009765625004,False,REGULAR,USD
46,SPY260605P00596000,2026-05-22 17:08:22+00:00,596.0,0.04,0.05,0.06,-0.010000002,-20.000004,1838.0,5,0.424810439453125,False,REGULAR,USD
47,SPY260605P00597000,2026-05-07 15:51:31+00:00,597.0,0.35,0.05,0.06,0.0,0.0,82.0,85,0.42188078125,False,REGULAR,USD
48,SPY260605P00598000,2026-05-22 17:34:50+00:00,598.0,0.04,0.05,0.06,-0.02,-33.333336,103.0,57,0.418951123046875,False,REGULAR,USD
49,SPY260605P00599000,2026-05-21 17:57:52+00:00,599.0,0.05,0.05,0.06,0.0,0.0,801.0,811,0.41602146484374997,False,REGULAR,USD
50,SPY260605P00600000,2026-05-22 20:03:25+00:00,600.0,0.06,0.05,0.06,0.0,0.0,8.0,337,0.41309180664062495,False,REGULAR,USD
51,SPY260605P00601000,2026-05-21 17:57:46+00:00,601.0,0.05,0.05,0.06,0.0,0.0,802.0,1301,0.4101621484375,False,REGULAR,USD
52,SPY260605P00602000,2026-05-22 18:01:23+00:00,602.0,0.05,0.05,0.06,-0.06,-54.545456,100.0,23,0.407232490234375,False,REGULAR,USD
53,SPY260605P00603000,2026-05-22 18:01:11+00:00,603.0,0.05,0.06,0.07,-0.02,-28.571426,200.0,105,0.411138701171875,False,REGULAR,USD
54,SPY260605P00604000,2026-05-22 17:46:12+00:00,604.0,0.05,0.06,0.07,-0.009999998,-16.666664,225.0,182,0.40820904296875,False,REGULAR,USD
55,SPY260605P00605000,2026-05-22 16:24:06+00:00,605.0,0.05,0.06,0.07,-0.02,-28.571426,6.0,77,0.405279384765625,False,REGULAR,USD
56,SPY260605P00606000,2026-05-20 15:39:42+00:00,606.0,0.09,0.06,0.07,0.0,0.0,1.0,87,0.4023497265625,False,REGULAR,USD
57,SPY260605P00607000,2026-05-21 16:46:04+00:00,607.0,0.07,0.06,0.07,0.0,0.0,450.0,554,0.39942006835937505,False,REGULAR,USD
58,SPY260605P00608000,2026-05-22 14:34:53+00:00,608.0,0.05,0.06,0.07,-0.02,-28.571426,275.0,539,0.39649041015625003,False,REGULAR,USD
59,SPY260605P00609000,2026-05-22 15:04:02+00:00,609.0,0.06,0.06,0.07,0.0,0.0,276.0,197,0.393560751953125,False,REGULAR,USD
60,SPY260605P00610000,2026-05-22 17:32:10+00:00,610.0,0.06,0.06,0.07,0.0,0.0,107.0,1046,0.39063109375,False,REGULAR,USD
61,SPY260605P00611000,2026-05-22 15:00:17+00:00,611.0,0.05,0.07,0.08,-0.040000003,-44.444447,1.0,263,0.393560751953125,False,REGULAR,USD
62,SPY260605P00612000,2026-05-22 15:33:35+00:00,612.0,0.05,0.07,0.08,-0.06999999,-58.333332,2.0,101,0.39063109375,False,REGULAR,USD
63,SPY260605P00613000,2026-05-22 13:50:01+00:00,613.0,0.06,0.07,0.08,-0.22,-78.57143,1.0,177,0.387701435546875,False,REGULAR,USD
64,SPY260605P00614000,2026-05-22 18:00:29+00:00,614.0,0.06,0.07,0.08,-0.06999999,-53.84615,275.0,206,0.38477177734374995,False,REGULAR,USD
65,SPY260605P00615000,2026-05-22 19:38:45+00:00,615.0,0.06,0.07,0.08,-0.030000005,-33.333336,1161.0,147,0.38184211914062494,False,REGULAR,USD
66,SPY260605P00616000,2026-05-22 17:45:55+00:00,616.0,0.06,0.07,0.08,-0.25,-80.645164,1219.0,216,0.3789124609375,False,REGULAR,USD
67,SPY260605P00617000,2026-05-22 19:53:52+00:00,617.0,0.09,0.07,0.08,-0.049999997,-35.714283,3.0,147,0.375982802734375,False,REGULAR,USD
68,SPY260605P00618000,2026-05-22 16:23:40+00:00,618.0,0.05,0.08,0.09,-0.06999999,-58.333332,4.0,227,0.37793590820312495,False,REGULAR,USD
69,SPY260605P00619000,2026-05-21 17:32:15+00:00,619.0,0.08,0.08,0.09,0.0,0.0,12.0,70,0.37500625,False,REGULAR,USD
70,SPY260605P00620000,2026-05-22 15:44:44+00:00,620.0,0.07,0.08,0.09,0.0,0.0,1.0,213,0.372076591796875,False,REGULAR,USD
71,SPY260605P00621000,2026-05-20 15:29:00+00:00,621.0,0.12,0.08,0.09,0.0,0.0,1.0,178,0.36914693359375,False,REGULAR,USD
72,SPY260605P00622000,2026-05-22 19:01:52+00:00,622.0,0.07,0.08,0.09,-0.020000003,-22.222225,100.0,122,0.366217275390625,False,REGULAR,USD
73,SPY260605P00623000,2026-05-22 19:01:46+00:00,623.0,0.07,0.08,0.09,-0.009999998,-12.499998,108.0,29,0.3632876171875,False,REGULAR,USD
74,SPY260605P00624000,2026-05-22 19:56:02+00:00,624.0,0.09,0.08,0.09,-0.049999997,-35.714283,3.0,146,0.36035795898437495,False,REGULAR,USD
75,SPY260605P00625000,2026-05-22 19:43:48+00:00,625.0,0.1,0.09,0.1,-0.019999996,-16.666664,50.0,628,0.362311064453125,False,REGULAR,USD
76,SPY260605P00626000,2026-05-21 19:03:47+00:00,626.0,0.1,0.09,0.1,0.0,0.0,4.0,149,0.35938140625,False,REGULAR,USD
77,SPY260605P00627000,2026-05-22 20:03:40+00:00,627.0,0.09,0.09,0.1,-0.029999994,-24.999996,1.0,100,0.35645174804687496,False,REGULAR,USD
78,SPY260605P00628000,2026-05-20 19:39:31+00:00,628.0,0.12,0.09,0.1,0.0,0.0,1.0,479,0.35352208984374994,False,REGULAR,USD
79,SPY260605P00629000,2026-05-18 18:02:21+00:00,629.0,0.28,0.09,0.1,0.0,0.0,63.0,66,0.3505924316406249,False,REGULAR,USD
80,SPY260605P00630000,2026-05-22 17:22:18+00:00,630.0,0.09,0.1,0.11,-0.009999998,-9.999998,41.0,894,0.35108070800781244,False,REGULAR,USD
81,SPY260605P00631000,2026-05-21 17:16:38+00:00,631.0,0.1,0.1,0.11,0.0,0.0,3.0,211,0.3481510498046875,False,REGULAR,USD
82,SPY260605P00632000,2026-05-22 17:34:25+00:00,632.0,0.08,0.1,0.11,-0.020000003,-20.000004,1.0,251,0.3452213916015625,False,REGULAR,USD
83,SPY260605P00633000,2026-05-21 16:11:48+00:00,633.0,0.12,0.1,0.11,0.0,0.0,3.0,126,0.34229173339843744,False,REGULAR,USD
84,SPY260605P00634000,2026-05-22 15:29:34+00:00,634.0,0.08,0.1,0.11,-0.04,-33.333336,57.0,222,0.3393620751953125,False,REGULAR,USD
85,SPY260605P00635000,2026-05-22 19:31:04+00:00,635.0,0.1,0.11,0.12,-0.009999998,-9.090907,50.0,1252,0.3398503515625,False,REGULAR,USD
86,SPY260605P00636000,2026-05-22 19:38:45+00:00,636.0,0.11,0.11,0.12,0.0,0.0,17.0,354,0.336920693359375,False,REGULAR,USD
87,SPY260605P00637000,2026-05-22 19:18:15+00:00,637.0,0.1,0.11,0.12,0.0,0.0,90.0,163,0.33399103515625,False,REGULAR,USD
88,SPY260605P00638000,2026-05-22 15:28:48+00:00,638.0,0.09,0.11,0.12,-0.029999994,-24.999996,101.0,152,0.331061376953125,False,REGULAR,USD
89,SPY260605P00639000,2026-05-21 19:57:15+00:00,639.0,0.1,0.12,0.13,0.0,0.0,8.0,153,0.331061376953125,False,REGULAR,USD
90,SPY260605P00640000,2026-05-22 19:26:38+00:00,640.0,0.1,0.12,0.13,-0.009999998,-9.090907,381.0,9199,0.32813171874999997,False,REGULAR,USD
91,SPY260605P00641000,2026-05-22 17:14:32+00:00,641.0,0.1,0.12,0.13,-0.019999996,-16.666664,58.0,311,0.32520206054687495,False,REGULAR,USD
92,SPY260605P00642000,2026-05-22 13:30:02+00:00,642.0,0.1,0.12,0.13,-0.029999994,-23.07692,8.0,134,0.32227240234374993,False,REGULAR,USD
93,SPY260605P00643000,2026-05-22 19:27:21+00:00,643.0,0.13,0.13,0.14,0.009999998,8.333332,10.0,29,0.32227240234374993,False,REGULAR,USD
94,SPY260605P00644000,2026-05-21 17:52:51+00:00,644.0,0.12,0.13,0.14,0.0,0.0,1.0,236,0.3193427441406249,False,REGULAR,USD
95,SPY260605P00645000,2026-05-22 20:02:36+00:00,645.0,0.15,0.13,0.14,0.030000009,25.00001,91.0,1907,0.31641308593749995,False,REGULAR,USD
96,SPY260605P00646000,2026-05-21 17:10:28+00:00,646.0,0.11,0.14,0.15,-0.049999997,-31.25,1.0,409,0.31641308593749995,False,REGULAR,USD
97,SPY260605P00647000,2026-05-21 17:16:09+00:00,647.0,0.15,0.14,0.15,0.0,0.0,1.0,831,0.313483427734375,False,REGULAR,USD
98,SPY260605P00648000,2026-05-15 14:40:04+00:00,648.0,0.47,0.14,0.15,0.0,0.0,32.0,187,0.3100654931640625,False,REGULAR,USD
99,SPY260605P00649000,2026-05-20 14:17:00+00:00,649.0,0.12,0.15,0.16,-0.13,-52.0,1.0,568,0.309577216796875,False,REGULAR,USD
100,SPY260605P00650000,2026-05-22 19:58:44+00:00,650.0,0.15,0.15,0.16,0.0,0.0,365.0,1683,0.30664755859375,False,REGULAR,USD
101,SPY260605P00651000,2026-05-21 17:51:56+00:00,651.0,0.15,0.15,0.17,0.0,0.0,55.0,552,0.3061592822265625,False,REGULAR,USD
102,SPY260605P00652000,2026-05-22 19:09:19+00:00,652.0,0.16,0.16,0.17,0.00999999,6.6666603,5.0,404,0.30322962402343745,False,REGULAR,USD
103,SPY260605P00653000,2026-05-22 14:42:57+00:00,653.0,0.14,0.16,0.17,-0.33999997,-70.83333,7.0,730,0.3002999658203125,False,REGULAR,USD
104,SPY260605P00654000,2026-05-21 17:20:35+00:00,654.0,0.17,0.17,0.18,0.0,0.0,10.0,189,0.29932341308593746,False,REGULAR,USD
105,SPY260605P00655000,2026-05-22 17:27:59+00:00,655.0,0.15,0.17,0.18,-0.019999996,-11.764703,17.0,2545,0.2963937548828125,False,REGULAR,USD
106,SPY260605P00656000,2026-05-18 13:55:36+00:00,656.0,0.17,0.17,0.19,-0.29000002,-63.04348,20.0,401,0.2954172021484375,False,REGULAR,USD
107,SPY260605P00657000,2026-05-22 16:53:52+00:00,657.0,0.15,0.18,0.19,-0.030000001,-16.666668,3.0,450,0.2924875439453124,False,REGULAR,USD
108,SPY260605P00658000,2026-05-22 16:49:03+00:00,658.0,0.16,0.18,0.19,-0.040000007,-20.000004,11.0,304,0.2893137475585937,False,REGULAR,USD
109,SPY260605P00659000,2026-05-21 19:58:36+00:00,659.0,0.17,0.19,0.2,-0.010000005,-5.555558,48.0,229,0.2880930566406249,False,REGULAR,USD
110,SPY260605P00660000,2026-05-22 19:23:09+00:00,660.0,0.18,0.19,0.2,-0.019999996,-9.999998,74.0,11170,0.28516339843749994,False,REGULAR,USD
111,SPY260605P00661000,2026-05-22 13:30:01+00:00,661.0,0.17,0.2,0.21,-0.030000001,-15.000001,2.0,142,0.2841868457031249,False,REGULAR,USD
112,SPY260605P00662000,2026-05-21 15:43:05+00:00,662.0,0.29,0.2,0.21,0.0,0.0,1.0,191,0.28076891113281244,False,REGULAR,USD
113,SPY260605P00663000,2026-05-22 20:04:27+00:00,663.0,0.21,0.21,0.22,0.0,0.0,7.0,245,0.2797923583984374,False,REGULAR,USD
114,SPY260605P00664000,2026-05-22 13:51:19+00:00,664.0,0.21,0.21,0.22,-0.19000001,-47.500004,3.0,277,0.2766185620117187,False,REGULAR,USD
